集团名称,集团类型,主管机构_省级,主管机构_市级,牵头单位,成员名称,成员类型,成员数据来源,链接
临安区ABC学前教育集团,基础教育,浙江省,杭州市,,ABC幼儿园横街园区,幼儿园,,
临安区启星学前教育集团,基础教育,浙江省,杭州市,,石镜幼儿园,幼儿园,,
临安区启星学前教育集团,基础教育,浙江省,杭州市,,筑境花园幼儿园,幼儿园,,
广州市海珠区第二实验小学教育集团,基础教育,广东省,广州市,,,,,
广东番禺中学教育集团,基础教育,广东省,广州市,,,,,
广州培英教育集团,基础教育,广东省,广州市,,,,,
广东仲元中学教育集团,基础教育,广东省,广州市,,,,,
广州市真光教育集团,基础教育,广东省,广州市,,,,,
广州五中教育集团,基础教育,广东省,广州市,,,,,
广州市南沙区南沙小学教育集团,基础教育,广东省,广州市,,,,,
广州市南武教育集团,基础教育,广东省,广州市,,,,,
广州市南海中学教育集团,基础教育,广东省,广州市,,,,,
深圳市宝安中学（集团）,基础教育,广东省,深圳市,,,,,
深圳高级中学（集团）,基础教育,广东省,深圳市,,,,,
深圳市南山外国语学校（集团）,基础教育,广东省,深圳市,,,,,
深圳市蛇口育才教育集团,基础教育,广东省,深圳市,,,,,
深圳市南山实验教育集团,基础教育,广东省,深圳市,,,,,
深圳市福田区红岭中学（红岭教育集团）,基础教育,广东省,深圳市,,,,,
深圳市南山区第二外国语学校（集团）,基础教育,广东省,深圳市,,,,,
深圳市福田区荔园小学（荔园教育集团）,基础教育,广东省,深圳市,,,,,
深圳市福田区实验教育集团,基础教育,广东省,深圳市,,,,,
深圳市新安中学（集团）,基础教育,广东省,深圳市,,,,,
深圳市宝安幼教集团,基础教育,广东省,深圳市,,,,,
深圳市螺岭教育集团,基础教育,广东省,深圳市,,,,,
深圳市龙岗区外国语学校（集团）,基础教育,广东省,深圳市,,,,,
深圳市罗湖区教工幼教集团,基础教育,广东省,深圳市,,,,,
深圳市罗湖区清秀幼教集团,基础教育,广东省,深圳市,,,,,
深圳市龙华区民治中学教育集团,基础教育,广东省,深圳市,,,,,
南方科技大学教育集团（南山）,基础教育,广东省,,,,,,
汕头经济特区中心幼儿园幼教集团,基础教育,广东省,汕头市,,,,,
汕头市东厦小学教育集团,基础教育,广东省,汕头市,,,,,
汕头市龙湖区金阳学校教育集团,基础教育,广东省,汕头市,,,,,
汕头经济特区林百欣中学教育集团,基础教育,广东省,汕头市,,,,,
佛山石门教育集团,基础教育,广东省,佛山市,,,,,
佛山市南海区狮山高级中学体育特色教育集团,基础教育,广东省,佛山市,,,,,
佛山市南海区大沥教育集团,基础教育,广东省,佛山市,,,,,
佛山市顺德区西山教育集团,基础教育,广东省,佛山市,,,,,
佛山市禅城区明珠幼儿园教育集团,基础教育,广东省,佛山市,,,,,
佛山市南海区西樵镇中心幼儿园教育集团,基础教育,广东省,佛山市,,,,,
顺德一中教育集团,基础教育,广东省,,,,,,
惠州市机关第一幼儿园教育集团,基础教育,广东省,惠州市,,,,,
东莞松山湖中心小学教育集团,基础教育,广东省,东莞市,,,,,
东莞中学教育集团,基础教育,广东省,东莞市,,,,,
东莞市莞城中心小学教育集团,基础教育,广东省,东莞市,,,,,
东莞中学初中部教育集团,基础教育,广东省,东莞市,,,,,
东莞市厚街镇前进小学教育集团,基础教育,广东省,东莞市,,,,,
东莞市松山湖无痕教育集团,基础教育,广东省,东莞市,,,,,
东莞中学松山湖学校教育集团,基础教育,广东省,东莞市,,,,,
东莞市茶山中学教育集团,基础教育,广东省,东莞市,,,,,
东莞市可园中学教育集团,基础教育,广东省,东莞市,,,,,
中山一中教育集团,基础教育,广东省,中山市,,,,,
台山市第一中学教育集团,基础教育,广东省,台中市,,,,,
江门市范罗冈小学教育集团,基础教育,广东省,江门市,,,,,
江门市紫茶小学教育集团,基础教育,广东省,江门市,,,,,
江门市新会圭峰小学教育集团,基础教育,广东省,江门市,,,,,
江门市第一幼儿园教育集团,基础教育,广东省,江门市,,,,,
广东肇庆中学教育集团,基础教育,广东省,肇庆市,,,,,
肇庆第十六小学教育集团,基础教育,广东省,肇庆市,,,,,
肇庆奥威斯实验小学教育集团,基础教育,广东省,肇庆市,,,,,
肇庆市第一中学教育集团,基础教育,广东省,肇庆市,,,,,
韩山师范学院实验学校教育集团,基础教育,广东省,,,,,,
广州市南沙区金隆小学教育集团,基础教育,广东省,广州市,,,,,
广州市增城区诚善教育集团,基础教育,广东省,广州市,,,,,
广州市天河外国语教育集团,基础教育,广东省,广州市,,,,,
广州市花都区秀全中学教育集团,基础教育,广东省,广州市,,,,,
广州四中教育集团,基础教育,广东省,广州市,,,,,
深圳市坪山区第一幼教集团,基础教育,广东省,深圳市,,,,,
珠海市第一中学教育集团,基础教育,广东省,珠海市,,,,,
汕头市龙湖区金珠小学教育集团,基础教育,广东省,汕头市,,,,,
佛山市南海区桂城学前教育集团,基础教育,广东省,佛山市,,,,,
始兴县实验小学教育集团,基础教育,广东省,,,,,,
河源市第三小学教育集团,基础教育,广东省,河源市,,,,,
兴宁市第一中学教育集团,基础教育,广东省,兴宁市,,,,,
东莞市大朗镇中心小学教育集团,基础教育,广东省,东莞市,,,,,
中山市华侨中学教育集团,基础教育,广东省,中山市,,,,,
鹤山市沙坪街道第一小学教育集团,基础教育,广东省,鹤山市,,,,,
湛江二中教育集团,基础教育,广东省,湛江市,,,,,
茂名市愉园教育集团,基础教育,广东省,,,,,,
肇庆实验幼儿园教育集团,基础教育,广东省,肇庆市,,,,,
揭阳岐山教育集团,基础教育,广东省,揭阳市,,,,,
深圳市龙华区实验幼教集团,基础教育,广东省,深圳市,,,,,
汕头市龙湖区金涛小学教育集团,基础教育,广东省,汕头市,,,,,
佛山市南海区西樵镇飞鸿教育集团,基础教育,广东省,佛山市,,,,,
兴宁市实验学校教育集团,基础教育,广东省,兴宁市,,,,,
东莞市松山湖实验中学教育集团,基础教育,广东省,东莞市,,,,,
江门市江华小学教育集团,基础教育,广东省,江门市,,,,,
高州附一小教育集团,基础教育,广东省,,,,,,
肇庆市第十五小学教育集团,基础教育,广东省,肇庆市,,,,,
深圳市龙华区教科院幼教集团,基础教育,广东省,深圳市,,,,,
汕头市下蓬中学教育集团,基础教育,广东省,汕头市,,,,,
佛山市南海区九江镇中教育集团,基础教育,广东省,佛山市,,,,,
东莞市常平镇振兴中学教育集团,基础教育,广东省,东莞市,,,,,
台山市台城第二小学教育集团,基础教育,广东省,台山市,,,,,
怀集县实验小学教育集团,基础教育,广东省,,,,,,
深圳市罗湖区托幼幼教集团,基础教育,广东省,深圳市,,,,,
广东第二师范学院龙湖附属中学教育集团,基础教育,广东省,,,,,,
佛山市南海区艺术高中美育特色教育集团,基础教育,广东省,佛山市,,,,,
东莞市第一中学教育集团,基础教育,广东省,东莞市,,,,,
江门市陈白沙教育集团,基础教育,广东省,江门市,,,,,
深圳市锦田教育集团,基础教育,广东省,深圳市,,,,,
佛山市顺德区青云教育集团,基础教育,广东省,佛山市,,,,,
鹤山市第一中学教育集团,基础教育,广东省,鹤山市,,,,,
深圳市南山区文理实验学校（集团）,基础教育,广东省,深圳市,,,,,
深圳市龙岗区龙城高级中学（教育集团）,基础教育,广东省,深圳市,,,,,
江门市新会第一中学教育集团,基础教育,广东省,江门市,,,,,
郑州市金水区文化路第一小学教育集团,基础教育,河南省,郑州市,,,,,
郑州市第五十七中学教育集团,基础教育,河南省,郑州市,,,,,
郑州市第二初级中学教育集团,基础教育,河南省,郑州市,,,,,
郑州市第四初级中学教育集团,基础教育,河南省,郑州市,,,,,
郑州市金水区艺术小学教育集团,基础教育,河南省,郑州市,,,,,
郑州师范学院附属小学教育集团,基础教育,河南省,郑州市,,,,,
郑州市第九十六中学教育集团,基础教育,河南省,郑州市,,,,,
郑州市郑东新区昆丽河教育集团,基础教育,河南省,郑州市,,,,,
郑州市金水区文化绿城小学教育集团,基础教育,河南省,郑州市,,,,,
郑州市中原区互助路小学教育集团,基础教育,河南省,郑州市,,,,,
郑州龙门实验学校教育集团,基础教育,河南省,郑州市,,,,,
郑州市二七区陇西小学教育集团,基础教育,河南省,郑州市,,,,,
郑州市惠济区实验小学教育集团,基础教育,河南省,郑州市,,,,,
郑州市金水区纬五路第一小学教育集团,基础教育,河南省,郑州市,,,,,
郑州大学实验小学教育集团,基础教育,河南省,郑州市,,,,,
郑州市管城回族区创新街小学教育集团,基础教育,河南省,郑州市,,,,,
郑州一中国际航空港实验学校教育集团,基础教育,河南省,郑州市,,,,,
“向阳花”教育发展共同体,基础教育,河南省,郑州市,,,,,
开封市金明中小学教育集团,基础教育,河南省,开封市,,,,,
开封市第一师范附属小学教育集团,基础教育,河南省,开封市,,,,,
开封市第十三中学教育集团,基础教育,河南省,开封市,,,,,
开封市第十四中学教育集团,基础教育,河南省,开封市,,,,,
开封市第二师范附属小学教育集团,基础教育,河南省,开封市,,,,,
洛阳市实验小学教育集团,基础教育,河南省,洛阳市,,,,,
北京第二实验小学洛阳分校教育集团,基础教育,河南省,洛阳市,,,,,
汝阳县外国语小学教育集团,基础教育,河南省,洛阳市,,,,,
伊川县西场学校教育集团,基础教育,河南省,洛阳市,,,,,
伊川县实验小学教育集团,基础教育,河南省,洛阳市,,,,,
洛阳市偃师区实验小学教育集团,基础教育,河南省,洛阳市,,,,,
洛阳市瀍河回族区第一实验小学教育集团,基础教育,河南省,洛阳市,,,,,
平顶山市三六联校教育集团,基础教育,河南省,平顶山市,,,,,
平顶山市新华区胜利街乐福联校,基础教育,河南省,平顶山市,,,,,
安阳市人民大道小学教育集团,基础教育,河南省,安阳市,,,,,
安阳市铁西路小学教育集团,基础教育,河南省,安阳市,,,,,
林州市第二实验小学教育集团,基础教育,河南省,安阳市,,,,,
安阳市八中教育集团,基础教育,河南省,安阳市,,,,,
鹤壁市淇滨区嵩山小学教育共同体,基础教育,河南省,鹤壁市,,,,,
鹤壁市淇滨区湘江中学教育集团,基础教育,河南省,鹤壁市,,,,,
新乡市第十中学教育联盟共同体,基础教育,河南省,新乡市,,,,,
新乡市红旗区和平教育集团,基础教育,河南省,新乡市,,,,,
新乡市卫滨区人民路小学办学联合体,基础教育,河南省,新乡市,,,,,
获嘉县第一初级中学教育集团,基础教育,河南省,新乡市,,,,,
新乡市第一中学教育集团,基础教育,河南省,新乡市,,,,,
新乡市实验小学教育集团,基础教育,河南省,新乡市,,,,,
新乡市育才小学教育集团,基础教育,河南省,新乡市,,,,,
新乡市高新区道清路小学教育集团,基础教育,河南省,新乡市,,,,,
卫辉市第一完全小学教育集团,基础教育,河南省,新乡市,,,,,
博爱县松林小学教育集团,基础教育,河南省,焦作市,,,,,
焦作市东环小学教育集团,基础教育,河南省,焦作市,,,,,
沁阳市第一小学教育集团,基础教育,河南省,焦作市,,,,,
清丰县明月湖小学教育集团,基础教育,河南省,濮阳市,,,,,
濮阳市实验小学教育集团,基础教育,河南省,濮阳市,,,,,
濮阳市昆吾小学教育集团,基础教育,河南省,濮阳市,,,,,
许昌市文化街学校教育集团,基础教育,河南省,许昌市,,,,,
许昌市古槐教育集团,基础教育,河南省,许昌市,,,,,
许昌市学府街小学教育集团,基础教育,河南省,许昌市,,,,,
许昌市第一中学教育集团,基础教育,河南省,许昌市,,,,,
禹州市夏都学校教育集团,基础教育,河南省,许昌市,,,,,
漯河市实验中学教育集团,基础教育,河南省,漯河市,,,,,
漯河市实验小学教育集团,基础教育,河南省,漯河市,,,,,
漯河小学教育集团,基础教育,河南省,漯河市,,,,,
漯河市源汇区许慎小学教育集团,基础教育,河南省,漯河市,,,,,
漯河市郾城区郾城中学教育集团,基础教育,河南省,漯河市,,,,,
漯河市郾城区第二实验小学教育集团,基础教育,河南省,漯河市,,,,,
三门峡市外国语中学教育集团,基础教育,河南省,三门峡市,,,,,
灵宝市第四小学教育联盟,基础教育,河南省,三门峡市,,,,,
南阳市第十五小学校教育集团,基础教育,河南省,南阳市,,,,,
南阳市油田实验小学教育集团,基础教育,河南省,南阳市,,,,,
南阳市第十三中学校教育集团,基础教育,河南省,南阳市,,,,,
南阳市第三中学教育集团,基础教育,河南省,南阳市,,,,,
淅川县小学教育第一集团,基础教育,河南省,南阳市,,,,,
南阳市第二十一学校教育集团,基础教育,河南省,南阳市,,,,,
内乡县北城区初中教育集团,基础教育,河南省,南阳市,,,,,
南阳市第十二小学校教育集团,基础教育,河南省,南阳市,,,,,
南阳市第十四小学校教育集团,基础教育,河南省,南阳市,,,,,
商丘市前进小学教育集团,基础教育,河南省,商丘市,,,,,
商丘市第一实验小学教育集团,基础教育,河南省,商丘市,,,,,
商丘市文化路小学教育集团,基础教育,河南省,商丘市,,,,,
夏邑县第二初级中学教育集团,基础教育,河南省,商丘市,,,,,
柘城县实验小学教育集团,基础教育,河南省,商丘市,,,,,
商丘市第一回民小学教育集团,基础教育,河南省,商丘市,,,,,
信阳市胜利路学校教育集团,基础教育,河南省,信阳市,,,,,
信阳市河中学教育集团,基础教育,河南省,信阳市,,,,,
